protocol,fold,method,key,value
lolo,33,fisher_wknn,selected_weighting,inv_sq
lolo,33,fisher_wknn,n_selected_keys,32
lolo,33,fisher_wknn,cv_best_score,1.6634590191180747
lolo,34,fisher_wknn,selected_M,all
lolo,34,fisher_wknn,selected_k,3
lolo,34,fisher_wknn,selected_weighting,inv_sq
lolo,34,fisher_wknn,n_selected_keys,80
lolo,34,fisher_wknn,cv_best_score,1.6580375393219888
lolo,35,fisher_wknn,selected_M,all
lolo,35,fisher_wknn,selected_k,3
lolo,35,fisher_wknn,selected_weighting,inv_sq
lolo,35,fisher_wknn,n_selected_keys,80
lolo,35,fisher_wknn,cv_best_score,1.5901461790505562
lolo,36,fisher_wknn,selected_M,all
lolo,36,fisher_wknn,selected_k,3
lolo,36,fisher_wknn,selected_weighting,inv_sq
lolo,36,fisher_wknn,n_selected_keys,80
lolo,36,fisher_wknn,cv_best_score,1.599856690206082
lolo,37,fisher_wknn,selected_M,all
lolo,37,fisher_wknn,selected_k,3
lolo,37,fisher_wknn,selected_weighting,inv_sq
lolo,37,fisher_wknn,n_selected_keys,80
lolo,37,fisher_wknn,cv_best_score,1.5718727789677245
lolo,38,fisher_wknn,selected_M,all
lolo,38,fisher_wknn,selected_k,3
lolo,38,fisher_wknn,selected_weighting,inv_sq
lolo,38,fisher_wknn,n_selected_keys,80
lolo,38,fisher_wknn,cv_best_score,1.5906444084558353
lolo,39,fisher_wknn,selected_M,all
lolo,39,fisher_wknn,selected_k,3
lolo,39,fisher_wknn,selected_weighting,inv_sq
lolo,39,fisher_wknn,n_selected_keys,80
lolo,39,fisher_wknn,cv_best_score,1.636367291200523
lolo,40,fisher_wknn,selected_M,32
lolo,40,fisher_wknn,selected_k,3
lolo,40,fisher_wknn,selected_weighting,inv_sq
lolo,40,fisher_wknn,n_selected_keys,32
lolo,40,fisher_wknn,cv_best_score,1.5419164491970978
lolo,41,fisher_wknn,selected_M,32
lolo,41,fisher_wknn,selected_k,3
lolo,41,fisher_wknn,selected_weighting,inv_sq
lolo,41,fisher_wknn,n_selected_keys,32
lolo,41,fisher_wknn,cv_best_score,1.5745693310104165
lolo,42,fisher_wknn,selected_M,32
lolo,42,fisher_wknn,selected_k,3
lolo,42,fisher_wknn,selected_weighting,inv_sq
lolo,42,fisher_wknn,n_selected_keys,32
lolo,42,fisher_wknn,cv_best_score,1.5976637413120447
lolo,43,fisher_wknn,selected_M,32
lolo,43,fisher_wknn,selected_k,3
lolo,43,fisher_wknn,selected_weighting,inv_sq
lolo,43,fisher_wknn,n_selected_keys,32
lolo,43,fisher_wknn,cv_best_score,1.627067156468269
lolo,44,fisher_wknn,selected_M,all
lolo,44,fisher_wknn,selected_k,3
lolo,44,fisher_wknn,selected_weighting,inv_sq
lolo,44,fisher_wknn,n_selected_keys,80
lolo,44,fisher_wknn,cv_best_score,1.648365218683666
lolo,45,fisher_wknn,selected_M,all
lolo,45,fisher_wknn,selected_k,3
lolo,45,fisher_wknn,selected_weighting,inv_sq
lolo,45,fisher_wknn,n_selected_keys,80
lolo,45,fisher_wknn,cv_best_score,1.6978796947178687
lolo,46,fisher_wknn,selected_M,all
lolo,46,fisher_wknn,selected_k,3
lolo,46,fisher_wknn,selected_weighting,inv_sq
lolo,46,fisher_wknn,n_selected_keys,80
lolo,46,fisher_wknn,cv_best_score,1.6476391666046533
lolo,47,fisher_wknn,selected_M,all
lolo,47,fisher_wknn,selected_k,3
lolo,47,fisher_wknn,selected_weighting,inv_sq
lolo,47,fisher_wknn,n_selected_keys,80
lolo,47,fisher_wknn,cv_best_score,1.6806286699525987
lolo,48,fisher_wknn,selected_M,all
lolo,48,fisher_wknn,selected_k,3
lolo,48,fisher_wknn,selected_weighting,inv_sq
lolo,48,fisher_wknn,n_selected_keys,80
lolo,48,fisher_wknn,cv_best_score,1.6407834312785394
lolo,49,fisher_wknn,selected_M,all
lolo,49,fisher_wknn,selected_k,3
lolo,49,fisher_wknn,selected_weighting,inv_sq
